"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"2467","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2468","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2469","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2470","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2471","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2472","1","QC","20200831","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200831_03/07/2020_NoBlend","01","01_0"
"2473","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2474","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2475","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2476","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2477","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2478","10","QC","20200831","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200831_03/07/2020_NoBlend","50","50_100"
"2479","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2480","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2481","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2482","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2483","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2484","5","QC","20200831","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200831_03/07/2020_NoBlend","05","05_0"
"2485","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
"2486","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
"2487","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
"2488","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
"2489","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
"2490","6","QC","20200831","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200831_03/07/2020_NoBlend","10","10_100"
