"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"2493","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2494","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2495","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2496","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2497","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2498","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2500","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2502","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2503","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2505","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2506","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2507","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2509","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2512","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2513","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2514","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2515","1","QC","20200914","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200914_03/07/2020_NoBlend","01","01_0"
